model,name,price,quantity,status
142656,"TCL 32S4K – Τηλεόραση 32"" Smart HD LED",158,0,0
142657,"TCL 40S5K – Τηλεόραση 40"" Full HD",239,1,1
142658,"TCL 43S5K – Τηλεόραση 43"" Full HD",228.9,0,0
142659,"TCL 43P6K – Τηλεόραση Direct LED 43"" 4K Google TV",299,4,1
142660,"TCL 50P6K – Τηλεόραση 50"" Smart 4K",299,1,1
142661,"TCL 55P6K – Τηλεόραση 55"" Smart 4K",297,2,1
142662,"TCL 65P6K – Τηλεόραση 65"" Smart 4K",407,1,1
142663,"TCL 75P6K – Τηλεόραση 75"" Smart 4K",542,2,1
142672,"TCL 50C7K – Τηλεόραση 50"" Smart 4K UHD HDR",649,0,0
142674,"Tcl 65C7K – Τηλεόραση 65"" Smart 4K",948,0,0
142675,"TCL 75C7K – Τηλεόραση 75"" Smart 4K",1320,1,1
142676,"TCL 85C7K – Τηλεόραση 85"" Smart 4K",2297,0,0
142677,"TCL 98C7K – Τηλεόραση 98"" Smart 4K",2799,1,1
142678,"TCL Τηλεόραση 115C7K 115'' Smart 4K UHD HDR",9290,0,0
142714,"Samsung QE43Q7F – Τηλεόραση 43"" Smart 4K AI",429,0,0
142715,"Samsung QE50Q7F – Τηλεόραση 50"" Smart 4K QLED AI G",469,1,1
142716,"Samsung QE55Q7F – Τηλεόραση 55"" Smart 4K QLED AI G",529,0,0
